,player,strengths,weaknesses,overall,Athleticism,Size,Defense,Strength,Quickness,Leadership,JumpShot,NBAReady,Rebounding,Potential,PostSkills,Intangibles,BallHandling,Passing
0,aaron-bradshaw,"7’0 center … Good size and length … Athletic with good mobility and fluidity. Consistently runs the floor well. Finishes dunks above the rim that other players can’t contest … Flashes ability to faceup and touch to knock down the midrange jumper. Shows a jump hook with either hand and fadeaway in the post, uses glass when appropriate … Averaged 12.8 points per game on 59.6% FG% over the Nike EYBL in 2022 … Good free throw shooter. Shot 80% FT% at the NBPA Top 100 and 74.6% FT% over the Nike EYBL in 2022 … Good rebounder. Averaged 7.8 (2.4 offensive) rebounds per game at the NBPA Top 100 in 2022. Had many double-digit rebound games but had a few below 5 as well, ultimately averaging 7.3 rebounds per game over the Nike EYBL in 2022 … Instinctive shot blocker. Finished 5","Has much room to get stronger in both upper and lower body … Still raw and isn’t always heavily involved offensively. Doesn’t have a consistent way to score. Can expand post-game and work on consistency with his jump hook/fadeaway among other finishing techniques. Lacks the base to establish position in the low post. Can be limited to rim running, simply catching and finishing or cleaning up offensive rebounds for his points … Flashes shooting ability and has the foundation but isn’t able to stretch the floor yet … A bit slow moving his feet and changing direction when getting out on the perimeter defensively … Has to be stronger with the ball. Struggles putting the ball down, handling double-teams, and tends to be turnover prone. Mishandles passes at times … Older for his class, will turn 19 before high school graduation …",94,8,9,9,7,8,7,7,7,8.0,9,7.0,8,,
1,aaron-brooks,"Brooks is an above average athlete with great quickness Shifty ball handler capable of getting separation with fakes and stutter steps Perimeter shooting has improved greatly this year in consistency and confidence Is a capable three point shooter, off the dribble or with his feet set Good ball handler who likes to have his man play him for the drive then pull up for the mid-range jumper Explosive scorer who can reel off big points in a hurry Defensively he does a solid job of using his lateral quickness to disrupt passing lanes Leadership has emerged this year as he wants the ball in crucial moments of a game Great rebounder for his position Good passer when driving in the lane where he dishes off to open teammates Possesses good fundamentals and a good basketball IQ enabling him to make quality decisions on the court Excellent free throw shooter Great in the open court where he uses his quickness to finish with ease Clutch player who has hit a number of game winners this season …","Slight build and his size of 5-11 could make him easy for NBA guards to out muscle him or a post up target Despite being a point guard, Brooks lacks the qualities that most NBA teams look for in that position Still doesnt control the tempo very well and possesses just average court vision Gets almost single minded in that he doesnt look to get teammates involved in the offense Seems to favor going to the right side of the basket. Should work on getting more comfortable on the left side of the court Often he will cut left then cross back to the right side of the basket Can get out of control on his drives when attacking the basket Shot selection has improved greatly this year but he is still prone to launching up questionable shots from time to time Tends to pick up fouls on defense as he has a tendency to reach",90,8,6,6,5,9,8,9,8,,8,,8,8.0,7.0
2,aaron-craft,"Excellent on-ball defender with an incredible basketball IQ … Incredibly pesky defender whose on-ball pressure causes his man to make mistakes and turn the ball over … Very intelligent kid who knows exactly how to play the game.  Graduated with a 3.9 GPA after being the valedictorian of his high school class.  He’s almost like a coach on the floor … Makes all the little plays to help his team win … He hustles like few other prospects in this draft or any draft … Averaged 2.5 steals per game last season, which led the Big Ten by nearly half a steal.  He’s great at anticipating opponent’s passes and his quick hands knock the ball loose regularly.  His steals on the perimeter lead to lots of fast breaks, and Craft is great at leading the break as he can both finish and find teammates … Very good floor vision makes Craft a solid distributor.  He knows how to run an offense and keeps the ball moving on the perimeter … Good body control. Solid finisher … Decently quick first step and a set of good hesitation moves, although he’ll have more trouble getting by NBA defenders … Good at running the pick-and-roll … Plays great in the clutch and made several big shots throughout his career.  Hit a 3 in the final second to defeat Iowa State in last season’s NCAA Tournament …Craft is a strong point guard, which will help compensate for his lack of size and length … Good at creating offense as the inbounds passer.  Also has shown the ability to throw accurate long inbounds passes in time-sensitive situations (due in part to his background as a high school football quarterback) … Won 120 games at Ohio State.  The Buckeyes were in the Top 25 for most of his time there … Amazing work ethic will help Craft translate his game to the pro level … His teammates and classmates have nothing but great things to say about him … Has shown the ability to hit the three-pointer from time to time … All about winning.  Never about his own accolades … Constantly plays at maximum speed …","Doesn’t have NBA measurable or athleticism.  He stands at under 6’2"" with a 6’2"" wingspan and has a poor vertical leap (32"") … Lacks a consistent outside shot …  Shot only 30% from distance last season and only attempted 1.5 three’s per game last season … His form is one of the worst you will find in an NBA prospect with a hitch that doesn’t appear to be fixable … This hurts his ability to space the floor and limits his options on the pick-and-roll as defenders disregard his shot and don’t step out on him … Does little offensively anywhere near an NBA level.  Craft never averaged more than 10 PPG in college … Yes, he’s unselfish, but that’s partially because he can’t create a lot offensively himself … His lack of size and athletic ability will slightly hamper his defensive ability at the next level, although his defensive effort will always make him a fairly effective defender … Craft plays at full speed all the time, but this makes him rather turnover-prone.  Turned it over 2.6 times per game last season and had an assist-to-turnover ratio of under 2:1 … He’s a smart player, but he’s not always smart with the ball … Drew under 4 free throws per game, and many of those were in the final minute when Ohio State was icing the clock away … Questionable shooting mechanics …",84,6,7,8,8,7,8,5,7,,6,,7,7.0,8.0
3,aaron-gordon,"A freakish athlete with incredible explosiveness who has been dominant throughout his HS career … Has rare physical gifts with his great length, leaping ability and body control … Huge, strong hands allow him to grab rebounds and corral ally oops with ease, a skill that is underrated and many NBA players lack … Has an excellent basketball body and is well developed physically with broad, cut shoulders and arms … Good conditioning. Capable of playing an entire HS game and barely appears winded … Well spoken kid who seems to have a solid understanding of what he does well and plays to his strengths … Does a solid job of forcing the issue and drawing contact to get to the line … Has some back to the basket skills with the ability to gain position on the block and create a wide target and overpower opponents, outclassing them with his great size, strength and athleticism … Shows some ability to handle the ball in the open floor and has decent speed when he gets a head of steam …","Gordon’s main weaknesses revolve around his lacking skill level on the offensive side of the ball …Despite being the 2nd leading scorer on an Arizona squad that almost made it to the Final 4, Gordon needs extensive improvement offensively … His ball-handling ability is not very good right now, and he loses significant effectiveness the more he dribbles the ball … Rarely looks comfortable with his back to the rim … Not blessed with a soft touch, which suggests he will continue to have his struggles as a jump shooter, and from the line … Doesn’t seem to have a lot of range on his shot, even though he can occasionally hit 22 footers … Struggled mightily at the foul line in his only year in school (42%) and needs to work on his form, develop a little more sense of urgency and develop a set routine which replicates his mid range shot, and eliminates the ""long pause"" … Has a very deliberate and slow shot, sometimes it looks like the ball barely rotates when he shoots … Physically, Gordon has adequate height and strength, but he could use a little more bulk to his frame … Could get sealed by bigger PF’s in the NBA due to his narrow frame … Not particularly lengthy … Some consider Gordon a bit of a tweener, it will be interesting to see what type of body weight he can ultimately carry comfortably … Was determined to show that he was a small forward, but scouts view him strictly as a 4 for the next level … Needs to work on his footwork, as he picks up traveling calls often when trying to create … Has high/tight hips and it sometimes shows in his lateral movements … Has a very awkward running style, and while some compare it to Rodman with the way he runs on his toes, Gordon’s extremely short stride has drawn some concerns … Though very good on the offensive glass, Gordon sometimes shows raw awareness on the defensive glass and will forget to box out or be in the wrong places when the ball has been shot …",92,9,8,8,7,8,8,6,8,7.0,8,6.0,9,,
4,aaron-gray,"Unlike many post players Gray doesnt put the ball on the floor. Once he gets the ball he goes straight up with it Owns soft hands that enable him to catch most passes thrown into the post without fumbling, and has soft touch on his shots Solid rebounder who understand how to seal his man off and get rebounds in his area Has made tremendous strides on his past footwork over the past year Offensively he has a good assortment of back to the basket moves When he gets the ball inside the post, he can finish with a jump hook, spin lay-up or short flip-ins and put-backs Excellent post passer who sees the floor well Double teams do not effect him as he can easily find the open man Defensively he may not be a natural shot blocker but he uses strong effort to disrupt shots Does a great job of keeping his body between the basket and the opposing defender Possesses excellent court awareness, he understands the game and is fundamentally sound His progress as a player and athletically is a testament to his great work ethic While not a speedster, Gray willingly runs the court Finishes well around the basket thanks to his soft touch Has no problem finishing after contact due to his excellent size and strength Shows quality mid-range shooting ability out to 12-15 feet","Athletically Gray is not exceptionally quick or explosive This has affects his overall game in a number of aspects: He will never be an impact shot blocker due to his lack of explosiveness Under the glass he struggles to grab rebounds out of his position . Doesnt always get himself wide in the post, often he allowing opponents to dictate where he goes on the floor Must continue to work on conditioning to improve upon his stamina Doesnt excel in a fast paced offense as he is clearly more comfortable in a half court set Improving his lateral quickness and foot speed would make this less of a issue Does struggle to score when facing athletic players with good size and athleticism Has had trouble throughout his career with foul trouble while improved there are games where he finds himself on the bench",89,5,9,7,9,5,8,8,8,8.0,6,8.0,8,,
5,aaron-harrison,"Leading scorer of a loaded 2015 Kentucky team, physical guard with some size, ball skills and shooting ability … Will be remembered well for his streak of dagger three point shots during the 2014 NCAA Tournament, with crucial clutch shots against Louisville, Michigan and Wisconsin … A decent athlete, has some instincts regarding mismatches and runs the floor hard … Wide hands, controls the ball well and kept turnovers pretty low, only 0.9 topg as a sophomore … Showed ability as a spot-up shooter and while he struggled with consistency over this past season, certainly has the mechanics and ability to be a good catch-and-shoot player … Did not run off screens often, but again has shown some ability in these scenarios … Was solid in transition, particular down the wings and even made some good decisions when running the break at times … Much better against man coverage as opposed to the zone, which could work to his benefit in a more spread out NBA game … Certainly has a lot of experience against high level competition, has faced a lot of challenges in his time and has met them head on … Definitely bought into UK’s defensive intensity and gave good effort on that end … Does a solid job getting low, fighting through screens and trying to pressure the ball …Conditioning appears to be solid, while he only played 25.8 mpg, played 32.6 mpg the year before and he can handle being out there for long periods … While he is definitely a true SG as opposed to a combo, does have some vision and passing ability","Really struggled with consistency as a shooter, especially this past season … Settles for a lot of bad shots, even when there was a good amount of time on the shot clock … Never really “broke through” during his time at Kentucky and while he was quite solid as a starting guard, did not become the star many thought he might be during his run in the 2014 NCAA Tournament … While his body language and attitude seemed to improve, this still seems to be a slight concern and have caused a hit to his draft stock … Shot only 31.6% 3PT as a sophomore, a sign of very poor and forced shot selection more so than ability … Simply does not get to the basket as much as one would like … Can at times lose focus when he is off the ball on defense … Will have a big adjustment defensively in the NBA, not incredibly quick laterally and will more than likely not have the team defense he saw at Kentucky … Was very surprising how stifled he could be by zone defense and did not make opponents pay often enough, even on open looks … Not someone who can be heavily relied upon to create his own offense",87,7,8,8,8,7,6,8,7,,7,,7,7.0,7.0
6,aaron-henry,"Entering Tom Izzo’s storied program as a three-star recruit, Henry has worked his way into being the leader of the Spartans…The All-Big Ten third teamer was a force on both ends of the court this season, averaging 15.4 points, 5.6 rebounds, 3.6 assists, 1.3 blocks and 1.3 steals this season…Creative near the rim, Henry can either float around bigger defenders, or move them out of the way with footwork, pump fakes and patience…The 6’6 forward loves to get downhill and attack in isolation, either finishing at the rim or pulling up for jumper…Physical and strong frame helps boost ability near the basket…While he is a solid offensive option, his real appeal is on the defensive end…The junior was named to the All-Big Ten Defensive First Team, as Henry was constantly locking down the opposition’s top scoring threat…Armed with his sturdy frame, wingspan and quickness, Henry is able to slow down both guards and forwards…He was always engaged and active on defense, highlighted by his steal and block totals…Henry should be able to play immediately at the NBA level due to his high-caliber defense and his ability to create offense for himself…He is also incredibly unselfish for a non-point guard, as his assist total is outstanding…Despite being overlooked in high school, Henry’s hard work paid off with a terrific junior season in East Lansing …","Despite his high scoring average, Henry was inefficient from both the field and three…He was particularly cold from three, shooting just 29.6% from long range…Henry can create off the dribble, but will likely be more of a role player especially early in his career, meaning he needs to up his percentage to increase his playing time and become a 3-And-D threat…Also struggled mightily with turnovers, with 2.9 per game, and sometimes looked like the game was going to quickly, as he forced bad passes…Is a decent athlete, but his vertical or speed won’t blow anyone away…Didn’t finish in the top-five of forwards in any combine event…Limited explosion and burst could take away many of the scoring chances that occurred in college…Similarly, as everyone is stronger at the next level, his signature skill on defense might be taken away…Henry is a solid player, but does not have a high ceiling because of his age, three point percentage, and athletic limitations …",89,8,8,8,8,8,7,7,8,,7,,7,6.0,7.0
7,aaron-holiday,"Really quick guard, capable of penetrating and beating opponents off the dribble … Tough to stay in front of for defenders … Handles the ball really well and knows how to finish around the rim with both hands … Finishes well through contact and in traffic … Has really good speed, possessing the capability to run an up-tempo offense … Really thrives in transition, as a quick decision maker on the break … Has a really good feel for the game, knows when to score, when to dish, etc … Has exceptional court vision and always knows where he is on the court and what’s around him … Selfless player, always eager to make the right basketball play … Does a good job of kicking it out to open shooters … Came into his own as a playmaker, becoming one of the deadlier shooters and scorers in the country as a junior … Really smooth form on his shot, shooting 42.9% from 3-point range on 6.2 attempts per game during his junior year. 82% foul shooter … Can score from all three levels: Around the rim, mid-range, and three-point range … Plays with a lot of fire and passion … Possesses a good motor … Capable of scoring both off the dribble and in catch and shoot situations … Good burst off speed off the dribble, and solid ball handling ability … Plays hard on defense, has the size and quickness to stay in front of both point guards and shooting guards … He should be a good defender in the NBA … Has good awareness on defense … He has an NBA pedigree with his older brothers Jrue Holiday, and Justin Holiday (who are six and seven years older than Aaron) excelling in the league … He knows what is ahead of him from that standpoint, with valuable advice from his older brothers … He has really improved from his sophomore year to junior year (12.3 points to 20.3 points) … Really embraced the expanded role … Free throw percentage (83%) and 3-point percentages (43%) increased as well … Pretty durable, playing in 101 games during his three years at UCLA, averaging 31.8 minutes per game … Does a good job defending without fouling (2.6 fouls per game) … Good length. Has a plus 5-7 inch wingspan to height …","Listed at 6’1”, 185 pounds. He’s small for an NBA point guard, though his wingspan helps … Despite what some would consider ""combo skills"", lay the point position due to size limiatations … Lack of size and leaping ability make it difficult for him to finish at the rim … He’ll need to adjust to the size and speed of the NBA and further develop his floater and ability to get shots off quickly … Needs to improve upon fighting through screens, but does a good job of recovering … Needs to do a better job of closing out on shooters and not allowing open shooters to get space … Gets careless as a floor general. Needs to do a better job taking care of the ball (5.8 assists/3.8 turnovers). Assist-to-turnover ratio needs improvement … Will turn 22 in September, making him one of the older first round point guard prospects available … Could stand to tone his body some, but has good strength …",91,7,6,8,8,8,8,8,8,,7,,8,8.0,7.0
8,aaron-nesmith,"A pure shooter who put up incredible stats for the first half of the season, before succumbing to a foot injury that ended his season … Displayed tremendous range. Showed the ability to extend well past the college three and out to NBA three during his sophomore year … Has a clean, concise shooting motion, and gets shots off quickly after setting his feet … Learning some effective tricks to free himself up for shots, including ball fakes, jab steps, and moving without the ball … It’s obvious he has studied some of the game’s greats like Curry and Harden and implemented their ball skills, including step back jumpers to enhance his offensive game … Despite lacking great foot speed, Nesmith shows the ability to defend utilizing long arms, solid technique and effort … Defensive ability is enhanced by his length, maturity, focus and basketball IQ … An extremely prolific three point shooter, at least in his amazing 14 game window, knocking down 4.3 per game (on 8.2 attempts) … Was highly efficient shooting … Prolific scorer. Nesmith went for 34 points twice and topped the 25 point mark four other times in his 14 games … Excellent length with a 6’10 wingspan on the wing … A solid leaper and dunker when he gets an open angle to the rim. His long arms allow him to get well above the rim for finishes … Has a bit of an “old man’s game”. It’s not overly pretty and his legs and movements are a bit rigid, but he’s effective … Has an NBA ready body. Very good upper body strength, showing the ability to finish through contact … Shows some slick ball handling ability to create space for pull ups as well as creating driving opportunities … Steady free throw shooter at 82% in both freshman and sophomore seasons … Proved a better rebounder in freshman season, perhaps showing his ability when focused more on team play than scoring … 3-and-D type of wing prospect …","Body of work is not robust as he did not sustain his breakout season for more than 14 games, and missed nearly all of conference play. He also did not shoot at the same clip as a freshman (33.7% from 3) … Lacks great vision and passing ability, granted a lot of the offensive weight was put on his shoulders at Vanderbilt … Somewhat robotic and stiff … Not the most fluid of athletes. While he shows the ability to dunk and finish on the break, he’s not the most dynamic of athletes, as his hips are stiff and he lacks fluidity for a wing … Body control on drives is below average … Assist to turnover ratio was a very disappointing 0.9 to 1.7, made even more concerning by the fact that his games were almost exclusively against inferior talent. Nesmith faced just one top 25 team (Auburn) all season … Ball handling seems to break down when attacking the basket … Lacks speed when attacking the rim. Forced to use strength instead of a quick first step in order to keep defenders at bay and create scoring opportunities off the dribble … Likely to get crowded at the next level, as he may struggle to create off the dribble against NBA wing athletes …",92,7,9,8,8,7,8,9,8,,7,,8,6.0,7.0
9,aaron-white,"White was a consistent impact player from the moment he stepped on the floor as an Iowa Hawkeye … He’s got NBA level range on his jump shot … Never really forced things at Iowa and usually let the game come to him … His shooting percentages from three and the free throw line improved in each of his seasons at Iowa … Ranked sixth in scoring efficiency as a senior (1.151 points per possession) … Is an above average rebounder … His wingspan (6’11.5"") makes it easier for him to be a nuisance on the boards … Is more athletic than he is given credit for (35"" maximum vertical jump) … Very springy … Was great in fast break opportunities and often found the right angles and spaces when cutting to the hoop … Handles the ball well enough to beat slower defenders off the dribble … Has great straight line speed when attacking the basket … More than just a shooter, White can score in a variety of ways on offense … Drew a very high number of fouls his senior season … Shot over 80 percent from the foul line as a senior … Smart and capable passer that rarely turned the ball over … Has potential to turn into a great perimeter shooter … Shot 35.6 percent from three as a senior … Uses his length well on defense especially in passing lanes … Was good at getting steals and deflections, often disrupted the passing lanes …","Not a great defender and may not ever reach average either … Did not take a lot of perimeter shots as he should’ve in college (only 59 as a senior) … Tends to fall asleep defensively … Gets out of position when off the ball at times … Frail build and didn’t really develop his body/strength much during his time at Iowa … Lacks a fluid body. Strange, ""hunched"" posture … Will be a liability as a post defender … Doesn’t have the body type to battle down low in the paint … Not a great or physical presence inside … Has a bad habit of gambling too often on defense especially for steals … Falls far too often for an opponents pump fakes … Needs to add lower body strength if he wants to be able to post up smaller defenders that most teams will likely use against him … Struggles to finish at the rim through contact or over taller defenders …",85,8,8,6,6,6,8,7,8,,6,,8,7.0,7.0
